Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,,Country,survivial-case-discharge rate,error,,Country,x,x1,Country,n,n1,
30.3753,69.3451,Pakistan,2581695,0.102952841,0.103964905,0.10716533,0.117285963,0.149290217,0.250496552,0.126266805,0.104862988,0.102722604,0.102508636,0.102487523,,,-35.6751,-71.543,Chile,2365753,0.122524687,0.104488777,0.102685185,0.10250489,0.102484787,,26.0275,50.55,Bahrain,1095373,0.102830151,0.103576925,0.105938431,0.113406167,0.137021223,0.211698587,,Bahrain,0.942834264,0.003429713,,Colombia,0.999993599,6.40102E-06,Angola,27319630108,421944.3389,
46.2276,2.2137,France,6175223,0.102652219,0.103014253,0.104159106,0.107779448,0.119227974,0.155431386,0.115642015,0.103800518,0.102616101,0.102500262,0.102484787,,,-33.8688,151.2093,Australia,6164296,0.119333758,0.104169675,0.102653249,0.102502089,0.102484787,,6,12,Cameroon,149000,0.102828763,0.103572533,0.105924542,0.113362248,0.136882338,0.211259395,,Cameroon,0.942341573,0.005694082,,South Africa,0.999993406,6.59436E-06,Sint Maarten,27203061246,11925936.54,
38.9637,35.2433,Turkey,6937088,0.102801344,0.103485829,0.105650361,0.11249521,0.134140524,0.202589018,0.128850592,0.10512137,0.102748438,0.102511027,0.102484787,,,32,53,Iran,3184857,0.118511335,0.104087444,0.102645053,0.102500739,0.102484787,,-18.7669,46.8691,Madagascar,57254,0.102827594,0.103568836,0.105912852,0.11332528,0.136765437,0.210889721,,Madagascar,0.941921786,0.006471632,,Peru,0.99999339,6.61033E-06,Malawi,27086020788,611477.8036,
43,12,Italy,8509618,0.10275196,0.103329661,0.105156512,0.110933523,0.129202036,0.186972147,0.127130806,0.104949382,0.102731182,0.102509256,0.102484787,,,44.0165,21.0059,Serbia,920852,0.118243884,0.104060696,0.102642375,0.102500562,0.102486155,,41.3775,64.5853,Uzbekistan,1377915,0.102818325,0.103539525,0.105820162,0.113032169,0.135838538,0.207958611,,Uzbekistan,0.93842002,0.003980341,,Canada,0.999993049,6.95117E-06,Kenya,27034060612,60652.29137,
51,9,Germany,11208091,0.102802331,0.103488951,0.105660231,0.112526422,0.134239225,0.202901137,0.136102661,0.105846576,0.102820911,0.102518515,0.102484787,,,56.2639,9.5018,Denmark,2400103,0.117664004,0.104002708,0.102636563,0.102500262,0.102484787,,21.0079,10.9408,Mauritania,69937,0.10280952,0.103511682,0.105732114,0.112753738,0.134958061,0.205174294,,Mauritania,0.934782609,0.009973211,,Qatar,0.999993035,6.96543E-06,Slovakia,26991758360,81204.35256,
33,44,Iraq,1567133,0.102674265,0.10308397,0.104379571,0.108476622,0.121432632,0.162403137,0.109985676,0.103234887,0.102559807,0.102492525,0.102484787,,,-30.5595,22.9375,South Africa,3652970,0.117500341,0.103986344,0.102634927,0.102500262,0.102484787,,64,26,Finland,636019,0.102806297,0.103501492,0.10569989,0.112651836,0.134635819,0.204155278,,Finland,0.933367903,0.009494484,,Ukraine,0.999992876,7.1243E-06,Costa Rica,26829089902,183701.7529,
13,122,Philippines,2515352,0.102652264,0.103014396,0.104159559,0.107780881,0.119232508,0.155445731,0.110884319,0.103324749,0.10256884,0.102492525,0.102484787,,,48.0196,66.9237,Kazakhstan,2434444,0.117209996,0.103957309,0.102632058,0.102499771,0.102484787,,51,9,Germany,11208091,0.102802331,0.103488951,0.105660231,0.112526422,0.134239225,0.202901137,,Germany,0.931560597,0.001746787,,Israel,0.999992789,7.21148E-06,Namibia,26809424348,457420.6509,
52.9399,-73.5491,Canada,5402249,0.102881493,0.103739283,0.10645185,0.115029742,0.142155418,0.227934335,0.131642697,0.105400577,0.102776367,0.102513996,0.102488656,,,46.2276,2.2137,France,6175223,0.115642015,0.103800518,0.102616101,0.102500262,0.102484787,,38.9637,35.2433,Turkey,6937088,0.102801344,0.103485829,0.105650361,0.11249521,0.134140524,0.202589018,,Turkey,0.931099011,0.001657915,,Bolivia,0.999992646,7.35431E-06,Greece,26616613567,28589.21202,
25.3548,51.1839,Qatar,620128,0.102997947,0.104107541,0.107616387,0.11871233,0.153800785,0.26476022,0.115263686,0.103762677,0.102612577,0.102497582,0.102486155,,,25.3548,51.1839,Qatar,620128,0.115263686,0.103762677,0.102612577,0.102497582,0.102486155,,24,45,Saudi Arabia,5026127,0.102799538,0.103480118,0.1056323,0.112438096,0.133959914,0.202017878,,Saudi Arabia,0.930241783,0.00152916,,Ecuador,0.999992483,7.51711E-06,Aruba,26563566812,1272872.05,
48.3794,31.1656,Ukraine,1516712,0.102645176,0.102991981,0.104088675,0.107556726,0.118523666,0.153204184,0.108731126,0.103109437,0.102547171,0.102490258,0.102484787,,,41.3775,64.5853,Uzbekistan,1377915,0.114865792,0.103722886,0.102608591,0.102497021,0.102484787,,56.2639,9.5018,Denmark,2400103,0.102794625,0.10346458,0.105583165,0.11228272,0.133468571,0.200464115,,Denmark,0.927824203,0.006806512,,Kazakhstan,0.999992356,7.64351E-06,CAR,26443627763,851866.1092,
