Z,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,,,Confidence,https://image.baidu.com/search/detail?ct=5
7.9,,,,,,,,,,,0.79,0.43,0.57,
8,,,,,,,,,,,0.8,0.424,0.576,
8.1,,,,,,,,,,,0.81,0.418,0.582,
8.2,,,,,,,,,,,0.82,0.412,0.588,
8.3,,,,,,,,,,,0.83,0.406,0.594,
8.4,,,,,,,,,,,0.84,0.402,0.598,
8.5,,,,,,,,,,,0.85,0.396,0.604,
8.6,,,,,,,,,,,0.86,0.39,0.61,
8.7,,,,,,,,,,,0.87,0.384,0.616,
8.8,,,,,,,,,,,0.88,0.378,0.622,
8.9,,,,,,,,,,,0.89,0.374,0.626,
9,,,,,,,,,,,0.9,0.368,0.632,
9.1,,,,,,,,,,,0.91,0.362,0.638,
9.2,,,,,,,,,,,0.92,0.358,0.642,
9.3,,,,,,,,,,,0.93,0.352,0.648,
9.4,,,,,,,,,,,0.94,0.348,0.652,
9.5,,,,,,,,,,,0.95,0.342,0.658,
9.6,,,,,,,,,,,0.96,0.338,0.662,
9.7,,,,,,,,,,,0.97,0.332,0.668,
9.8,,,,,,,,,,,0.98,0.328,0.672,
9.9,,,,,,,,,,,0.99,0.322,0.678,
10,,,,,,,,,,,1,0.318,0.682,
,,,,,,,,,,,1.01,0.312,0.688,
,,,,,,,,,,,1.02,0.308,0.692,
,,,,,,,,,,,1.03,0.304,0.696,
,,,,,,,,,,,1.04,0.296,0.704,
,,,,,,,,,,,1.05,0.294,0.706,
,,,,,,,,,,,1.06,0.29,0.71,
,,,,,,,,,,,1.07,0.284,0.716,
,,,,,,,,,,,1.08,0.28,0.72,
,,,,,,,,,,,1.09,0.276,0.724,
,,,,,,,,,,,1.1,0.272,0.728,
,,,,,,,,,,,1.11,0.268,0.732,
,,,,,,,,,,,1.12,0.262,0.738,
,,,,,,,,,,,1.13,0.258,0.742,
,,,,,,,,,,,1.14,0.254,0.746,
,,,,,,,,,,,1.15,0.25,0.75,
,,,,,,,,,,,1.16,0.246,0.754,
,,,,,,,,,,,1.17,0.242,0.758,
,,,,,,,,,,,1.18,0.238,0.762,
,,,,,,,,,,,1.19,0.234,0.766,
,,,,,,,,,,,1.2,0.23,0.77,
,,,,,,,,,,,1.21,0.226,0.774,
