Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,,,Country,clinical deterioration rate,error,,Country,x,x1,Country,n,n1
30.3753,69.3451,Pakistan,2581695,0.102792256,0.103457089,0.105559475,0.112207804,0.133231667,0.199714959,0.118107395,0.104047045,0.102640986,0.102500262,0.102484787,,,39.3999,-8.2245,Portugal,1976482,0.168943367,0.109130647,0.103149373,0.102551244,0.102491418,,-13.254308,34.301525,Malawi,44296,0.104371563,0.108451296,0.121352544,0.162149872,0.291162353,0.699135637,,,Latvia,0.005434783,0.023282834,,Belgium,0.999986966,1.30344E-05,Uzbekistan,5606633865,4068.925779
46.2276,2.2137,France,6175223,0.104095296,0.107577662,0.118589873,0.15341354,0.263535644,0.611772316,0.229042717,0.115140586,0.103750367,0.102611348,0.102497435,,,60.472,8.4689,Norway,686202,0.168903117,0.10912664,0.103148972,0.102551206,0.102491427,,26,30,Egypt,135000,0.104336172,0.108339379,0.120998632,0.161030706,0.28762324,0.687943982,,,Bahamas,0.063699156,0.022667273,,Bolivia,0.999986733,1.32675E-05,Malaysia,5502628805,4463.06132
38.9637,35.2433,Turkey,6937088,0.102849124,0.103636922,0.106128157,0.114006133,0.138918484,0.217698252,0.132830115,0.105519321,0.10278824,0.10251525,0.102484787,,,9.082,8.6753,Nigeria,398304,0.167086152,0.108944976,0.103130806,0.102549389,0.102491247,,64,26,Finland,636019,0.10430435,0.108238751,0.12068042,0.160024432,0.28444112,0.677881234,,,Guyana,0.01754386,0.020016697,,Iraq,0.999985988,1.40117E-05,Turkey,5411136984,780.0300333
43,12,Italy,8509618,0.103859852,0.106833125,0.116235439,0.145968168,0.23999131,0.537318592,0.229331241,0.115169436,0.103753252,0.102611629,0.102497472,,,53.1424,-7.6921,Ireland,824712,0.164131934,0.108649511,0.10310126,0.102546434,0.102490952,,31.7917,-7.0926,Morocco,1890964,0.104212328,0.107947753,0.119760201,0.157114442,0.275238925,0.648781337,,,Turks and Caicos,0.008849558,0.018739509,,Honduras,0.999984693,1.53072E-05,French Guiana,3530260488,67028.56551
51,9,Germany,11208091,0.103137311,0.10454825,0.10901003,0.123119417,0.167737217,0.30883109,0.171566407,0.10939295,0.103175604,0.102553887,0.102491488,,,51.9194,19.1451,Poland,2660665,0.163213837,0.108557693,0.103092077,0.102545514,0.102490827,,46.2276,2.2137,France,6175223,0.104095296,0.107577662,0.118589873,0.15341354,0.263535644,0.611772316,,,Suriname,0.026785714,0.018240275,,Romania,0.999984047,1.59527E-05,Ecuador,3527046477,10800.87238
33,44,Iraq,1567133,0.103245513,0.104890415,0.11009205,0.126541064,0.178557415,0.343047558,0.132599681,0.105496277,0.102785934,0.102514911,0.102487846,,,52.9399,-73.5491,Canada,5402249,0.162058482,0.108442157,0.103080526,0.102544347,0.102490904,,39.3999,-8.2245,Portugal,1976482,0.103979661,0.107211994,0.117433528,0.149756858,0.2519722,0.575205492,,,Guinea,0.026373626,0.017964206,,Ethiopia,0.999977028,2.2972E-05,Sint Maarten,3487921333,1529119.392
13,122,Philippines,2515352,0.10324608,0.104892205,0.110097712,0.12655897,0.178614037,0.343226613,0.140666107,0.106302919,0.102866601,0.102522964,0.102488406,,,48.3794,31.1656,Ukraine,1516712,0.159265467,0.108162857,0.103052594,0.102541569,0.102490468,,-21.1351,55.2471,R¨¦union,35419,0.1039556,0.107135906,0.117192915,0.148995972,0.249566069,0.56759664,,,Cameroon,0.027777778,0.01687019,,USA,0.999976961,2.30392E-05,Oman,3485080166,11270.84384
52.9399,-73.5491,Canada,5402249,0.103295314,0.105047897,0.110590052,0.128115887,0.183537441,0.358795785,0.162058482,0.108442157,0.103080526,0.102544347,0.102490904,,,-30.5595,22.9375,South Africa,3652970,0.158656571,0.108101966,0.103046505,0.102540952,0.102490427,,48.3794,31.1656,Ukraine,1516712,0.103942758,0.107095298,0.117064502,0.148589893,0.248281934,0.563535847,,,Uzbekistan,0.052988048,0.014970344,,Iran,0.999976912,2.30877E-05,Mexico,3048431001,2284.613788
25.3548,51.1839,Qatar,620128,0.103023855,0.104189468,0.107875462,0.1195316,0.156391541,0.272952912,0.115908846,0.103827193,0.102619028,0.102498224,0.102486155,,,15.7835,-90.2308,Guatemala,240745,0.157541398,0.107990513,0.10303536,0.102539844,0.102490293,,-0.0236,37.9062,Kenya,445722,0.103898361,0.106954899,0.116620523,0.14718591,0.24384215,0.549496019,,,Cyprus,0.009469697,0.014969946,,Dominican Republic,0.999972638,2.73616E-05,Cameroon,3017392844,20250.95868
48.3794,31.1656,Ukraine,1516712,0.103942758,0.107095298,0.117064502,0.148589893,0.248281934,0.563535847,0.159265467,0.108162857,0.103052594,0.102541569,0.102490468,,,-9.19,-75.0152,Peru,3156679,0.149456417,0.10718195,0.102954503,0.102531754,0.102489525,,-12.8275,45.1662,Mayotte,13000,0.103868906,0.106861757,0.116325981,0.146254487,0.240896732,0.540181787,,,Jordan,0.006960557,0.014776575,,Panama,0.999970968,2.9032E-05,Kazakhstan,2948626213,1211.211354
-16.2902,-63.5887,Bolivia,239073,0.104710692,0.109523715,0.124743832,0.172874069,0.32507524,0.806377603,0.136901691,0.105926484,0.102828957,0.102519204,0.102488228,,,64,26,Finland,636019,0.148373114,0.107073623,0.102943671,0.102530675,0.102489375,,43,12,Italy,8509618,0.103859852,0.106833125,0.116235439,0.145968168,0.23999131,0.537318592,,,Mayotte,0.003367003,0.014515775,,Costa Rica,0.999970129,2.98715E-05,Suriname,2912597820,350535.3015
31,35,Israel,2217857,0.10303868,0.104236351,0.108023719,0.120000428,0.157874106,0.277641193,0.128569904,0.105093299,0.102745641,0.102510884,0.102487523,,,4.5709,-74.2973,Colombia,2685355,0.142974926,0.106533801,0.102889687,0.102525272,0.102488891,,56.2639,9.5018,Denmark,2400103,0.103856074,0.106821178,0.116197661,0.145848701,0.239613523,0.536123924,,,Mauritania,0.006711409,0.014252393,,Italy,0.999969635,3.0365E-05,Guinea,2869002929,121629.7664
-1.8312,-78.1834,Ecuador,326552,0.102936063,0.103911846,0.106997544,0.116755376,0.147612353,0.24519068,0.110639677,0.103300276,0.102566338,0.102492937,0.102485754,,,46.8182,8.2275,Switzerland,1000884,0.142748213,0.10651113,0.102887421,0.102525052,0.102488804,,18.1096,-77.2975,Jamaica,56494,0.103819248,0.106704722,0.115829392,0.144684134,0.235930838,0.524478254,,,Cuba,0.008960573,0.01417231,,Egypt,0.999967799,3.22011E-05,El Salvador,2716194690,8749.386975
48.0196,66.9237,Kazakhstan,2434444,0.102978344,0.104045552,0.107420361,0.118092441,0.151840523,0.25856133,0.126836949,0.104920003,0.10272831,0.102509179,0.102487523,,,13,122,Philippines,2515352,0.140666107,0.106302919,0.102866601,0.102522964,0.102488406,,-22.9576,18.4904,Namibia,58610,0.103790946,0.106615225,0.115546379,0.143789167,0.233100706,0.515528591,,,Martinique,0.006224066,0.013226059,,Saudi Arabia,0.999967521,3.24791E-05,Japan,2553819685,1772.469185
26,30,Egypt,135000,0.104336172,0.108339379,0.120998632,0.161030706,0.28762324,0.687943982,0.123995931,0.104635903,0.102699899,0.102506298,0.102486936,,,-16.2902,-63.5887,Bolivia,239073,0.136901691,0.105926484,0.102828957,0.102519204,0.102488228,,46.8182,8.2275,Switzerland,1000884,0.103757466,0.106509351,0.115211576,0.142730428,0.229752679,0.5049412,,,Guadeloupe,0.011349306,0.013011671,,Israel,0.999965677,3.43232E-05,Qatar,2471773236,3985.908128
18.7357,-70.1627,Dominican Republic,363807,0.103327766,0.10515052,0.110914575,0.129142118,0.18678267,0.369058099,0.118563534,0.104092662,0.102645575,0.102500863,0.102486391,,,6.4238,-66.5897,Venezuela,1734382,0.135930322,0.105829341,0.102819242,0.102518236,0.102488138,,33,65,Afghanistan,102381,0.103749188,0.106483173,0.115128794,0.142468648,0.228924857,0.502323396,,,Slovenia,0.004618938,0.012577815,,Poland,0.999962431,3.75694E-05,Israel,2341223865,1055.624355
8.538,-80.7821,Panama,326597,0.103490588,0.105665409,0.112542795,0.134291002,0.203064871,0.420546941,0.120661615,0.10430247,0.102666555,0.102502966,0.102486597,,,49.8175,15.473,Czechia,891140,0.135704682,0.105806777,0.102816986,0.102518005,0.102488138,,45.1,15.2,Croatia,165716,0.103679894,0.106264048,0.114435861,0.1402774,0.221995522,0.480410915,,,Angola,0.017106201,0.011718087,,Turkey,0.999960973,3.90265E-05,Argentina,2269708389,1856.826341
45.9432,24.9668,Romania,1780963,0.103256578,0.104925404,0.110202697,0.12689096,0.179663884,0.346546521,0.135055491,0.105741857,0.102810493,0.102517358,0.102487846,,,45.9432,24.9668,Romania,1780963,0.135055491,0.105741857,0.102810493,0.102517358,0.102487846,,3.2028,73.2207,Maldives,110249,0.103673377,0.106243438,0.114370685,0.140071298,0.22134377,0.478349894,,,Belize,0.009569378,0.011701118,,Germany,0.99995615,4.38495E-05,China,2242627082,24.80507778
30.9756,112.2707,China,90410000,0.103050725,0.104274441,0.108144168,0.120381322,0.159078601,0.281450141,0.272652515,0.119501561,0.104186453,0.102655017,0.102500262,,,39.0742,21.8243,Greece,931002,0.133934533,0.105629762,0.102799284,0.10251624,0.102487921,,46.1512,14.9955,Slovenia,157467,0.103667277,0.106224147,0.114309682,0.139878389,0.220733738,0.476420802,,,Trinidad and Tobago,0.006830601,0.010826471,,Chile,0.999955223,4.47768E-05,Uruguay,2030753256,11859.31344
21,57,Oman,309212,0.102938772,0.103920412,0.107024633,0.11684104,0.147883246,0.24604732,0.110467845,0.103283092,0.102564616,0.102492763,0.102485754,,,-22.3285,24.6849,Botswana,109547,0.133929262,0.105629254,0.102799234,0.102516232,0.102487932,,51.9194,19.1451,Poland,2660665,0.103662126,0.106207859,0.114258173,0.139715503,0.220218648,0.474791946,,,Eswatini,0.010377358,0.010704537,,Morocco,0.99995124,4.87598E-05,Guyana,1925781999,238368.8574
29.5,47.75,Kuwait,611639,0.103222875,0.104818827,0.109865668,0.125825182,0.176293598,0.335888741,0.120738692,0.104310178,0.102667326,0.102503036,0.102486597,,,15.2,-86.2419,Honduras,141114,0.133250549,0.105561373,0.102792446,0.102515553,0.102487862,,7.9465,-1.0232,Ghana,439246,0.103652689,0.106178018,0.114163809,0.139417098,0.219275008,0.471807895,,,Pakistan,0.073388203,0.00932198,,Portugal,0.999949505,5.04953E-05,Angola,1878576878,29014.1146
50.8333,4,Belgium,2234172,0.104642871,0.109309248,0.124065629,0.1707294,0.318293202,0.784930917,0.204491012,0.112685426,0.103504851,0.102586794,0.102494989,,,38.9637,35.2433,Turkey,6937088,0.132830115,0.105519321,0.10278824,0.10251525,0.102484787,,41.1533,20.1683,Albania,56815,0.103648602,0.106165093,0.114122938,0.13928785,0.218866292,0.470515421,,,Qatar,0.022635135,0.009178088,,Kenya,0.999948649,5.13506E-05,S. Korea,1721146088,894.4875388
15.7835,-90.2308,Guatemala,240745,0.106033173,0.113705768,0.137968646,0.214694601,0.457323374,1.224582922,0.157541398,0.107990513,0.10303536,0.102539844,0.102490293,,,33,44,Iraq,1567133,0.132599681,0.105496277,0.102785934,0.102514911,0.102487846,,41.2044,74.7661,Kyrgyzstan,267718,0.103607553,0.106035284,0.113712443,0.137989752,0.214761345,0.457534438,,,Lithuania,0.005434783,0.008626112,,Lebanon,0.999939879,6.01208E-05,Germany,1686947619,150.511592
36,138,Japan,1440826,0.103015125,0.104161862,0.107788163,0.119255533,0.155518543,0.270192247,0.122615453,0.104497854,0.102686089,0.102504983,0.102486721,,,-0.0236,37.9062,Kenya,445722,0.132328336,0.105469143,0.102783223,0.102514632,0.102487768,,49.8175,15.473,Czechia,891140,0.103597608,0.106003836,0.113612996,0.137675275,0.21376688,0.454389663,,,Oman,0.032230883,0.008583472,,Nigeria,0.99993865,6.13505E-05,Bulgaria,1560372475,3869.846645
51.9194,19.1451,Poland,2660665,0.103662126,0.106207859,0.114258173,0.139715503,0.220218648,0.474791946,0.163213837,0.108557693,0.103092077,0.102545514,0.102490827,,,47.5162,14.5501,Austria,1160743,0.131635318,0.10539984,0.102776293,0.102513932,0.102487689,,47.1625,19.5033,Hungary,417890,0.103578725,0.105944122,0.113424164,0.137078133,0.211878552,0.448418248,,,Finland,0.001945525,0.008424173,,El Salvador,0.999936587,6.34129E-05,Russia,1545542105,42.93172515
31.7917,-7.0926,Morocco,1890964,0.104212328,0.107947753,0.119760201,0.157114442,0.275238925,0.648781337,0.177607297,0.109997043,0.103236012,0.10255991,0.10249231,,,41.6086,21.7453,North Macedonia,147002,0.131572949,0.10539361,0.102775669,0.102513875,0.102487696,,55.1694,23.8813,Lithuania,634751,0.103575361,0.105933486,0.113390532,0.13697178,0.211542234,0.447354716,,,R¨¦union,0.002980626,0.008139983,,Ecuador,0.999936067,6.3933E-05,Kuwait,1318495190,2155.675473
15.2,-86.2419,Honduras,141114,0.105074685,0.110674763,0.128383765,0.184384545,0.361474562,0.921482368,0.133250549,0.105561373,0.102792446,0.102515553,0.102487862,,,36,128,S. Korea,1924170,0.130822209,0.105318529,0.102768163,0.102513118,0.102487523,,56.8796,24.6032,Latvia,248932,0.103575361,0.105933486,0.113390532,0.13697178,0.211542234,0.447354716,,,Aruba,0.005833333,0.007690176,,Moldova,0.999931941,6.80588E-05,India,1293463887,32.01119616
39.3999,-8.2245,Portugal,1976482,0.103979661,0.107211994,0.117433528,0.149756858,0.2519722,0.575205492,0.168943367,0.109130647,0.103149373,0.102551244,0.102491418,,,55.1694,23.8813,Lithuania,634751,0.12996101,0.10523241,0.102759549,0.102512263,0.102487523,,9.7489,-83.7534,Costa Rica,146047,0.103554599,0.10586783,0.113182908,0.136315216,0.209465995,0.440789072,,,Moldova,0.055961071,0.007582154,,Japan,0.999928846,7.11535E-05,Brazil,1276481179,88.93799701
9.082,8.6753,Nigeria,398304,0.105721725,0.112720883,0.134854165,0.204845749,0.42617857,1.126094406,0.167086152,0.108944976,0.103130806,0.102549389,0.102491247,,,31.24,36.51,Jordan,810061,0.129933165,0.105229625,0.102759271,0.102512238,0.102487523,,12.5186,-70.0358,Aruba,20869,0.103537658,0.105814257,0.113013494,0.135779483,0.207771862,0.435431751,,,Slovakia,0.007073955,0.007314539,,Guatemala,0.999928564,7.14363E-05,Guadeloupe,1253663529,42360.65311
26.0275,50.55,Bahrain,1095373,0.103255844,0.104923084,0.110195358,0.126867753,0.179590496,0.346314447,0.128004016,0.10503671,0.10273998,0.102510304,0.102487346,,,31,35,Israel,2217857,0.128569904,0.105093299,0.102745641,0.102510884,0.102487523,,39.0742,21.8243,Greece,931002,0.10351551,0.105744218,0.112792014,0.135079101,0.205557057,0.428427925,,,Hungary,0.005401235,0.007123165,,Pakistan,0.99992009,7.99099E-05,Iraq,1241189593,792.0129264
9.145,40.4897,Ethiopia,869430,0.103264346,0.10494997,0.110280381,0.12713662,0.180440727,0.349003113,0.125470952,0.104783404,0.102714649,0.102507777,0.102487156,,,26.0275,50.55,Bahrain,1095373,0.128004016,0.10503671,0.10273998,0.102510304,0.102487346,,14.6415,-61.0242,Martinique,12227,0.103504274,0.105708688,0.112679658,0.134723798,0.204433492,0.4248749,,,Ghana,0.004735596,0.006798467,,Venezuela,0.999918157,8.1843E-05,Philippines,1239343980,492.7119463
7.9465,-1.0232,Ghana,439246,0.103652689,0.106178018,0.114163809,0.139417098,0.219275008,0.471807895,0.126961911,0.1049325,0.102729558,0.102509265,0.102487253,,,7.9465,-1.0232,Ghana,439246,0.126961911,0.1049325,0.102729558,0.102509265,0.102487253,,37.0902,-95.7129,USA,81102397,0.103498105,0.105689181,0.11261797,0.134528726,0.203816621,0.422924181,,,Tunisia,0.007653061,0.006722682,,Kazakhstan,0.999914206,8.57942E-05,Bahrain,1208152881,1102.960253
6.4238,-66.5897,Venezuela,1734382,0.10328788,0.10502439,0.110515716,0.127880814,0.182794074,0.356445052,0.135930322,0.105829341,0.102819242,0.102518236,0.102488138,,,48.0196,66.9237,Kazakhstan,2434444,0.126836949,0.104920003,0.10272831,0.102509179,0.102487523,,8.538,-80.7821,Panama,326597,0.103490588,0.105665409,0.112542795,0.134291002,0.203064871,0.420546941,,,Jamaica,0.003623188,0.006536088,,Kuwait,0.999909268,9.07316E-05,Romania,1205856345,677.0810762
41.2044,74.7661,Kyrgyzstan,267718,0.103607553,0.106035284,0.113712443,0.137989752,0.214761345,0.457534438,0.120855579,0.104321866,0.102668495,0.102503158,0.102486629,,,15,101,Thailand,749213,0.125711747,0.104807483,0.102717057,0.10250801,0.102487156,,21.0079,10.9408,Mauritania,69937,0.103466803,0.105590194,0.112304945,0.133538853,0.200686367,0.41302545,,,Bahrain,0.010932696,0.006488948,,Afghanistan,0.999908973,9.10266E-05,Paraguay,1200234492,6455.615512
46.8182,8.2275,Switzerland,1000884,0.103757466,0.106509351,0.115211576,0.142730428,0.229752679,0.5049412,0.142748213,0.10651113,0.102887421,0.102525052,0.102488804,,,9.145,40.4897,Ethiopia,869430,0.125470952,0.104783404,0.102714649,0.102507777,0.102487156,,10.6918,-61.2225,Trinidad and Tobago,23429,0.103458256,0.105563165,0.112219473,0.133268567,0.199831645,0.410322582,,,Chile,0.061297539,0.006411697,,Paraguay,0.99990014,9.98599E-05,Ethiopia,1181943009,1359.445854
