Lat,Long,Country,Tests,n=E+3,n=E+4,n=E+5,n=E+6,n=E+7,n=E+8,n=E+9,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,n=E+3,n=E+4,n=E+5,n=E+6,n=E+7,n=E+8,>E+8,>E+7,,Country,the proportion of the positive tests,error,,,,Country,x,x1,Country,n,n1,,Country,err 1E-5,err 9E-5,err 1E-4,err 2E-4,err 3E-4,err 4E-4,err 5E-4,err 6E-4,err 7E-4,err 8E-4,err 9E-4,err 1E-3,total population with err 1E-3,20% population with err 1E-3,10% population with err 1E-3,2% population with err 1E-3,1% population with err 1E-3,total population with err 2E-3,total population with err 3E-3,Country,total population with err 1E-3,Country,10% population with err 1E-3,20% population with err 1E-3,Country,total population with err 2E-3,total population with err 3E-3,Country,1% population with err 1E-3,2% population with err 1E-3,,Country,err 1E-5,err 9E-5,err 1E-4,err 2E-4,err 3E-4,err 4E-4,err 5E-4,err 6E-4,err 7E-4,err 8E-4,err 9E-4,err 1E-3,total population with err 1E-3,20% population with err 1E-3,10% population with err 1E-3,2% population with err 1E-3,1% population with err 1E-3,total population with err 2E-3,total population with err 3E-3,,,,,,,,
32,53,Iran,3184857,0.102734477,0.103274376,0.104981686,0.110380675,0.127453777,0.181443663,0.352174689,0.11657592,0.103893903,0.102625669,0.102499263,0.102484787,,52.9399,-73.5491,Canada,5402249,0.141280316,0.106364341,0.102872736,0.102523572,0.102488656,,2.5,112.5,Malaysia,1232927,0.103410638,0.105412583,0.111743292,0.131762751,0.19506984,0.395264431,-98767073,-8767073,,Panama,0.279662704,0.002625198,,,,Dominican Republic,0.999994824,5.17566E-06,Oman,22271515856,72026.68672,,Canada,0.141280316,0.451644415,0.490439894,0.878393888,1.266345653,1.654294077,2.042238045,2.430176445,2.818108162,3.206032083,3.593947096,3.981852089,2,,,,,,,Japan,13.69648635,Japan,4.401285531,6.181907101,Japan,27.28963376,47.91361603,Japan,1.461884943,2.024966924,,Canada,,,,0.878393888,,,,,,,,,,,,,,,,,,,,,,,
24,45,Saudi Arabia,5026127,0.102816132,0.103532593,0.105798239,0.112962842,0.135619307,0.207265342,0.433829994,0.125975566,0.104833865,0.102719675,0.102508,0.102484787,,36,128,S. Korea,1924170,0.137424471,0.105978755,0.102834183,0.102519741,0.102488406,,-32.5228,-55.7658,Uruguay,171237,0.103326012,0.105144974,0.110897037,0.129086657,0.186607287,0.36850349,-99828763,-9828763,,Oman,0.274908477,0.00268377,,,,Moldova,0.99999478,5.21952E-06,Costa Rica,22115279413,151425.7699,,S. Korea,0.137424471,0.416941236,0.451880656,0.801270662,1.150648943,1.50000964,1.849346897,2.198654863,2.547927693,2.89715955,3.246344604,3.595477035,3,,,,,,,Turkey,12.21550956,Turkey,3.93295955,5.519594148,Turkey,24.32736799,40.88107371,Turkey,1.313787264,1.815525178,,S. Korea,,,,0.801270662,,,,,,,,,,,,,,,,,,,,,,,
30.3753,69.3451,Pakistan,2581695,0.102736679,0.10328134,0.105003708,0.110450315,0.127673999,0.182140065,0.35437691,0.115283522,0.103764661,0.102612752,0.102497619,0.102484787,,38.9637,35.2433,Turkey,6937088,0.13719502,0.105955811,0.102831887,0.102519607,0.102488656,,22,-80,Cuba,388194,0.103286233,0.105019183,0.110499249,0.127828742,0.182629411,0.35592434,-99611806,-9611806,,Costa Rica,0.271823454,0.003891319,,,,Cuba,0.999994727,5.27335E-06,Egypt,22042093587,163274.7673,,Turkey,0.13719502,0.414876841,0.449587059,0.796688997,1.143790266,1.490890532,1.837989461,2.185086719,2.53218197,2.879274882,3.226365119,3.573452348,4,,,,,,,Pakistan,11.95923625,Pakistan,3.851918815,5.40498524,Pakistan,23.81594669,36.43689541,Pakistan,1.288159933,1.77928266,,Turkey,,,,0.796688997,,,,,,,,,,,,,,,,,,,,,,,
46.2276,2.2137,France,6175223,0.102875163,0.103719265,0.10638855,0.114829571,0.141522421,0.225932623,0.49286112,0.133161569,0.105552465,0.102791551,0.102515495,0.102488656,,15,101,Thailand,749213,0.135084844,0.105744793,0.102810788,0.102517387,0.102488031,,36,128,S. Korea,1924170,0.103281308,0.105003608,0.110449997,0.127672994,0.18213689,0.354366854,-98075830,-8075830,,Brazil,0.268034788,0.000390806,,,,Nigeria,0.999994682,5.31818E-06,Brazil,21920498299,1527.29648,,Thailand,0.135084844,0.395881856,0.428480622,0.754447783,1.080357628,1.406181573,1.731891124,2.057457909,2.382853699,2.708050448,3.033020313,3.357735682,5,,,,,,,New Zealand,11.86571308,New Zealand,3.822344192,5.363160407,Ethiopia,23.5772531,35.6725751,New Zealand,1.278807616,1.766056486,,Thailand,,,,0.754447783,,,,,,,,,,,,,,,,,,,,,,,
38.9637,35.2433,Turkey,6937088,0.102901531,0.103802646,0.106652223,0.115663376,0.144159145,0.23427068,0.519228372,0.13719502,0.105955811,0.102831887,0.102519607,0.102488656,,2.5,112.5,Malaysia,1232927,0.134994232,0.105735732,0.102809882,0.1025173,0.102488138,,39.0742,21.8243,Greece,931002,0.103263501,0.104947297,0.110271927,0.127109887,0.18035619,0.348735786,-99068998,-9068998,,Madagascar,0.258340029,0.006114661,,,,Bulgaria,0.999994659,5.34077E-06,Madagascar,21407470830,373903.4972,,Malaysia,0.134994232,0.395068572,0.427577559,0.752660146,1.077722363,1.402754038,1.727745007,2.052685122,2.377564255,2.702372301,3.027099181,3.351734847,6,,,,,,,Ethiopia,11.84008491,Ethiopia,3.814239854,5.351699142,New Zealand,23.25447465,35.3135577,Ethiopia,1.2762448,1.762432116,,Malaysia,,,,0.752660146,,,,,,,,,,,,,,,,,,,,,,,
43,12,Italy,8509618,0.102944832,0.103939578,0.107085241,0.117032699,0.148489323,0.247963903,0.562530146,0.144922863,0.106728595,0.102909164,0.102527168,0.102488656,,46.2276,2.2137,France,6175223,0.133161569,0.105552465,0.102791551,0.102515495,0.102488656,,48.669,19.699,Slovakia,332393,0.103234914,0.104856897,0.109986058,0.12620589,0.177497501,0.339695815,-99667607,-9667607,,Dominican Republic,0.257642101,0.00242361,,,,Hungary,0.999994589,5.4113E-06,Dominican Republic,21369727490,58739.18723,,France,0.133161569,0.378575803,0.409252575,0.71602015,1.022787296,1.329553799,1.636319446,1.943084022,2.249847314,2.556609107,2.863369187,3.17012734,7,,,,,,,Italy,11.41285727,Italy,3.679138609,5.16063713,Italy,22.72149075,34.02664996,Italy,1.233522035,1.702013003,,France,,,,0.71602015,,,,,,,,,,,,,,,,,,,,,,,
51,9,Germany,11208091,0.103035517,0.104226347,0.107992083,0.119900388,0.157557752,0.276640793,0.653214433,0.160789583,0.108315266,0.103067831,0.102543206,0.102490258,,55.1694,23.8813,Lithuania,634751,0.132757903,0.105512099,0.102787518,0.102515062,0.102487807,,64,26,Finland,636019,0.103202074,0.104753047,0.109657654,0.125167383,0.174213455,0.32931075,-99363981,-9363981,,Mayotte,0.253923077,0.012759213,,,,Paraguay,0.99999458,5.42006E-06,Mayotte,21166770283,1628213.099,,Lithuania,0.132757903,0.374939515,0.405211389,0.707910387,1.010554209,1.313115342,1.615566361,1.917879963,2.22002899,2.521986462,2.823725604,3.125219874,8,,,,,,,Nigeria,10.77946023,Nigeria,3.47884088,4.877373365,Nigeria,21.45642591,34.01471571,Nigeria,1.170182331,1.612437135,,Lithuania,,,,0.707910387,,,,,,,,,,,,,,,,,,,,,,,
33,44,Iraq,1567133,0.102712416,0.103204614,0.10476108,0.109683057,0.125247715,0.17446749,0.330114058,0.111495954,0.1033859,0.102574941,0.102494264,0.102484787,,22.3,114.2,Hong Kong,780415,0.131172308,0.105353539,0.102771662,0.102513479,0.102487607,,47.1625,19.5033,Hungary,417890,0.103177904,0.104676617,0.109415961,0.124403083,0.171796524,0.321667744,-99582110,-9582110,,Colombia,0.22340212,0.000849621,,,,Ghana,0.999994479,5.5212E-06,Colombia,19384397558,7218.56051,,Hong Kong,0.131172308,0.360670822,0.389357724,0.676216895,0.963048544,1.249838929,1.536574331,1.823241066,2.109825485,2.39631399,2.682693036,2.96894914,1,,,,,,,Canada,10.3636183,Canada,3.347340116,4.691403201,Canada,20.62180807,32.13337206,Canada,1.128598139,1.553628206,,Hong Kong,,,,0.676216895,0.963048544,,,,,,,,,,,,,,,,,,,,,,
13,122,Philippines,2515352,0.102772703,0.103395256,0.105363942,0.111589475,0.131276337,0.193531663,0.390400293,0.116924695,0.103928774,0.102629184,0.102499263,0.102484787,,51.9194,19.1451,Poland,2660665,0.129029061,0.105139214,0.102750227,0.102511311,0.102487523,,-22.3285,24.6849,Botswana,109547,0.103146442,0.104577124,0.109101337,0.123408155,0.168650286,0.311718465,-99890453,-9890453,,Turks and Caicos,0.207013097,0.027828827,,,,Kenya,0.999994444,5.55606E-06,Turks and Caicos,18341407261,7748799.012,,Poland,0.129029061,0.341383176,0.367927419,0.633369371,0.898809962,1.164248511,1.429684339,1.695116764,1.960545107,2.225968688,2.491386826,2.756798843,2,,,,,,,Poland,10.11241595,Poland,3.267902957,4.579062094,Poland,20.11978291,30.87412152,Poland,1.103477903,1.518102828,,Poland,,,,0.633369371,0.898809962,,,,,,,,,,,,,,,,,,,,,,
52.9399,-73.5491,Canada,5402249,0.103012617,0.104153933,0.107763091,0.119176249,0.155267825,0.269399408,0.630315165,0.141280316,0.106364341,0.102872736,0.102523572,0.102488656,,39.0742,21.8243,Greece,931002,0.126245163,0.104860825,0.102722391,0.102508538,0.102487156,,60.472,8.4689,Norway,686202,0.10313461,0.104539707,0.108983016,0.12303399,0.167467073,0.307976817,-99313798,-9313798,,Peru,0.202565734,0.000756135,,,,Uruguay,0.999994389,5.61072E-06,Peru,18048025406,5717.409153,,Greece,0.126245163,0.316327735,0.340087948,0.577687482,0.815279761,1.05286116,1.290428057,1.52797683,1.765503861,2.003005539,2.240478254,2.477918403,3,,,,,,,France,10.07779083,France,3.256953533,4.56357727,France,20.05240074,30.12203022,France,1.100015392,1.513206097,,Greece,,,,0.577687482,0.815279761,,,,,,,,,,,,,,,,,,,,,,
