Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,,Country,mortality rates ,error,,Country,x,x1,Country,n,n1,
30.3753,69.3451,Pakistan,2581695,0.103035313,0.104225704,0.10799005,0.119893956,0.157537413,0.276576477,0.130457237,0.105282032,0.102764511,0.102512753,0.102487523,,,6.4238,-66.5897,Venezuela,1734382,0.135632126,0.105799521,0.102816261,0.102517927,0.102488138,,41.3775,64.5853,Uzbekistan,1377915,0.10336098,0.105255552,0.111246715,0.130192436,0.190104068,0.37956128,,Slovenia,0.054153094,0.015289761,,Mexico,0.999993931,6.06926E-06,Slovenia,5722857632,36343.21878,
46.2276,2.2137,France,6175223,0.102726281,0.103248459,0.10489973,0.110121509,0.126634223,0.178852006,0.121462037,0.104382502,0.10267448,0.10250374,0.102484787,,,48.0196,66.9237,Kazakhstan,2434444,0.135350946,0.105771403,0.102813447,0.102517615,0.102488138,,31,35,Israel,2217857,0.1033158,0.105112682,0.110794921,0.12876374,0.185586132,0.365274313,,Peru,0.052829861,0.00101612,,Peru,0.999993864,6.13614E-06,Peru,5590829951,1771.111333,
38.9637,35.2433,Turkey,6937088,0.102998789,0.104110205,0.10762481,0.118738966,0.153885013,0.265026575,0.145295615,0.10676587,0.102912904,0.10252752,0.102488656,,,41.3775,64.5853,Uzbekistan,1377915,0.135009307,0.105737239,0.102810032,0.102517315,0.102487995,,21.694,-71.7979,Turks and Caicos,2367,0.103310322,0.105095359,0.110740141,0.128590509,0.185038329,0.363542007,,Switzerland,0.052147,0.003790315,,South Africa,0.999993521,6.47917E-06,Switzerland,5522543344,5517.665728,
43,12,Italy,8509618,0.10271634,0.103217022,0.104800316,0.109807134,0.125640082,0.175708262,0.123844989,0.104620805,0.102698382,0.102506673,0.102484787,,,-30.5595,22.9375,South Africa,3652970,0.134401578,0.105676466,0.10280395,0.10251669,0.102487523,,6.4238,-66.5897,Venezuela,1734382,0.10328072,0.105001747,0.110444113,0.127654386,0.182078047,0.354180775,,Sint Maarten,0.051051051,0.040837602,,Canada,0.999993298,6.70235E-06,Sint Maarten,5412729864,2372963.553,
51,9,Germany,11208091,0.102888933,0.103762808,0.106526244,0.115264996,0.142899357,0.23028688,0.145270994,0.106763408,0.102912642,0.10252752,0.102490258,,,13,122,Philippines,2515352,0.131064788,0.105342787,0.102770592,0.102513349,0.102487523,,31.24,36.51,Jordan,810061,0.103273963,0.104980381,0.110376547,0.127440724,0.181402391,0.352044162,,Romania,0.04901119,0.002685687,,Qatar,0.999992927,7.07285E-06,Romania,5207622194,2924.048503,
33,44,Iraq,1567133,0.102907867,0.103822682,0.106715584,0.115863741,0.144792755,0.236274328,0.119233255,0.104159633,0.102652269,0.10250154,0.102486721,,,30.3753,69.3451,Pakistan,2581695,0.130457237,0.105282032,0.102764511,0.102512753,0.102487523,,48.669,19.699,Slovakia,332393,0.103243561,0.104884242,0.110072529,0.126479334,0.178362207,0.342430257,,Martinique,0.047619048,0.039386271,,Kazakhstan,0.999992331,7.66943E-06,Martinique,5067108714,414419.6216,
13,122,Philippines,2515352,0.10305464,0.104286821,0.108183317,0.120505122,0.15947009,0.282688137,0.131064788,0.105342787,0.102770592,0.102513349,0.102487523,,,36,128,S. Korea,1924170,0.127536742,0.104989982,0.102735309,0.10250986,0.102487523,,-12.8275,45.1662,Mayotte,13000,0.103201991,0.104752786,0.10965683,0.125164778,0.174205216,0.329284696,,Guyana,0.047489824,0.026359937,,Bolivia,0.999992299,7.70061E-06,Guyana,5054043745,625577.8865,
52.9399,-73.5491,Canada,5402249,0.10279329,0.103460359,0.105569818,0.11224051,0.133335092,0.200042019,0.125159759,0.104752283,0.10271157,0.102507346,0.102484787,,,2.5,112.5,Malaysia,1232927,0.126828292,0.104919138,0.102728222,0.102509141,0.102487156,,24,45,Saudi Arabia,5026127,0.10319961,0.104745257,0.10963302,0.125089484,0.173967114,0.328531752,,Bolivia,0.047039866,0.002205044,,Ecuador,0.999992295,7.70505E-06,Bolivia,5008522491,20949.76217,
25.3548,51.1839,Qatar,620128,0.104434166,0.108649266,0.12197858,0.164129574,0.297422718,0.718932653,0.151028951,0.107339209,0.102970229,0.102533331,0.102489635,,,29.5,47.75,Kuwait,611639,0.126586367,0.104894945,0.102725803,0.10250889,0.102487156,,6.6111,20.9394,CAR,31042,0.103191632,0.104720027,0.109553238,0.124837192,0.173169297,0.326008833,,North Macedonia,0.045952197,0.006147883,,Egypt,0.999991916,8.08353E-06,North Macedonia,4898298362,33321.30421,
48.3794,31.1656,Ukraine,1516712,0.102990692,0.104084599,0.107543836,0.118482904,0.153075276,0.262465962,0.122187246,0.104455033,0.102681814,0.102504514,0.102486721,,,-35.6751,-71.543,Chile,2365753,0.125821335,0.104818442,0.102718157,0.102508161,0.102487523,,-40.9006,174.886,New Zealand,750808,0.103183628,0.104694718,0.109473201,0.124584093,0.172368927,0.323477842,,Finland,0.043081276,0.00770202,,Ukraine,0.99999191,8.0901E-06,Finland,4606090040,7242.063586,
