Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,,Country,case-fatality rate,error,,,Country,x,x1,Country,n,n1,,,,
30.3753,69.3451,Pakistan,2581695,0.103040434,0.104241898,0.108041261,0.120055901,0.158049528,0.278195926,0.130717445,0.105308053,0.102767115,0.102513019,0.102487523,,6.4238,-66.5897,Venezuela,1734382,0.139199668,0.106156275,0.102851935,0.102521503,0.102488406,,41.3775,64.5853,Uzbekistan,1377915,0.103415616,0.105428326,0.111793074,0.131920176,0.195567659,0.396838673,,Slovenia,0.046930134,0.013302642,,,Colombia,0.999993467,6.53344E-06,Slovenia,4997414231,31736.26367,,,,
46.2276,2.2137,France,6175223,0.102738744,0.103287868,0.105024353,0.110515599,0.127880443,0.182792901,0.12244135,0.104480445,0.102684324,0.102505259,0.102484787,,41.3775,64.5853,Uzbekistan,1377915,0.137037407,0.105940049,0.102830313,0.102519337,0.102488274,,21,57,Oman,309212,0.103405227,0.105395474,0.111689186,0.131591653,0.19452878,0.393553449,,Peru,0.044737933,0.00086415,,,Canada,0.999993388,6.61232E-06,Peru,4774932759,1512.644383,,,,
38.9637,35.2433,Turkey,6937088,0.103013747,0.104157507,0.107774392,0.119211986,0.155380833,0.269756773,0.146541472,0.106890455,0.102925345,0.102528729,0.102488656,,48.0196,66.9237,Kazakhstan,2434444,0.135660056,0.105802314,0.10281654,0.102517956,0.102488138,,31.24,36.51,Jordan,810061,0.103389103,0.105344486,0.111527948,0.131081773,0.192916397,0.388454648,,Bolivia,0.042356808,0.001990398,,,South Africa,0.999993306,6.69372E-06,Bolivia,4532061154,18956.80881,,,,
43,12,Italy,8509618,0.102720956,0.10323162,0.104846479,0.109953114,0.126101711,0.177168055,0.12427083,0.104663392,0.102702683,0.102506673,0.102484787,,-30.5595,22.9375,South Africa,3652970,0.135191484,0.105755457,0.10281186,0.102517501,0.102487523,,31,35,Israel,2217857,0.103385675,0.105333645,0.111493667,0.130973365,0.192573582,0.387370572,,Angola,0.041944336,0.013297198,,,Peru,0.999993185,6.81522E-06,Angola,4489860808,69344.69255,,,,
51,9,Germany,11208091,0.102901216,0.103801651,0.106649076,0.115653426,0.144127678,0.234171173,0.146571397,0.106893449,0.102925667,0.102528899,0.102490258,,13,122,Philippines,2515352,0.134492003,0.105685509,0.102804858,0.102516808,0.102488138,,6.4238,-66.5897,Venezuela,1734382,0.103366383,0.105272639,0.11130075,0.130363309,0.190644413,0.381270004,,North Macedonia,0.041698734,0.005591337,,,Qatar,0.999993043,6.95741E-06,North Macedonia,4464715022,30371.79781,,,,
33,44,Iraq,1567133,0.102952567,0.103964038,0.107162589,0.117277295,0.149262805,0.250409869,0.121002815,0.10433659,0.102669968,0.102503341,0.102486721,,30.3753,69.3451,Pakistan,2581695,0.130717445,0.105308053,0.102767115,0.102513019,0.102487523,,48.669,19.699,Slovakia,332393,0.103353663,0.105232415,0.111173551,0.12996107,0.189372423,0.377247617,,Finland,0.041620077,0.007446545,,,Ukraine,0.999992983,7.01666E-06,Finland,4456658967,7007.116088,,,,
13,122,Philippines,2515352,0.103122975,0.104502914,0.108866665,0.122666058,0.16630357,0.3042975,0.134492003,0.105685509,0.102804858,0.102516808,0.102488138,,36,128,S. Korea,1924170,0.130179423,0.105254251,0.102761735,0.102512484,0.102487523,,18.1096,-77.2975,Jamaica,56494,0.103313595,0.105105707,0.110772862,0.128693982,0.185365539,0.364576737,,Romania,0.041231228,0.0022686,,,Bolivia,0.999992872,7.12772E-06,Romania,4416812530,2480.013638,,,,
52.9399,-73.5491,Canada,5402249,0.102796218,0.10346962,0.105599101,0.112333112,0.133627925,0.200968038,0.125374992,0.104773806,0.102713672,0.102508,0.102484787,,31.7917,-7.0926,Morocco,1890964,0.128745513,0.105110859,0.102747393,0.102511027,0.102487523,,33.8547,35.8623,Lebanon,511468,0.103310322,0.105095359,0.110740141,0.128590509,0.185038329,0.363542007,,Germany,0.038558633,0.001306086,,,Israel,0.99999283,7.17005E-06,Germany,4142030050,369.5571396,,,,
25.3548,51.1839,Qatar,620128,0.104457133,0.108721891,0.122208242,0.164855829,0.29971934,0.726195207,0.151600864,0.1073964,0.102975948,0.102533904,0.102489695,,31.24,36.51,Jordan,810061,0.128223044,0.105058613,0.10274217,0.102510523,0.102487346,,-22.9576,18.4904,Namibia,58610,0.103303011,0.105072239,0.110667029,0.128359309,0.18430721,0.361230009,,Sint Maarten,0.038288288,0.030889225,,,Ecuador,0.999992804,7.19552E-06,Sint Maarten,4114145732,1803658.804,,,,
48.3794,31.1656,Ukraine,1516712,0.103040073,0.104240757,0.108037651,0.120044486,0.158013432,0.27808178,0.12411041,0.104647349,0.102701041,0.102506415,0.102487156,,29.5,47.75,Kuwait,611639,0.127608117,0.10499712,0.102736021,0.102509911,0.1024873,,9.7489,-83.7534,Costa Rica,146047,0.103270318,0.104968854,0.110340095,0.127325453,0.181037871,0.35089145,,Bulgaria,0.037428854,0.004992463,,,Kazakhstan,0.99999244,7.56029E-06,Bulgaria,4025392072,9983.289407,,,,
-16.2902,-63.5887,Bolivia,239073,0.102882894,0.103743711,0.106465855,0.11507403,0.142295469,0.228377218,0.108640309,0.103100339,0.10254634,0.10249098,0.102485754,,2.5,112.5,Malaysia,1232927,0.126955569,0.104931865,0.102729494,0.102509256,0.102487156,,10.6918,-61.2225,Trinidad and Tobago,23429,0.103235185,0.104857755,0.109988771,0.126214469,0.17752463,0.339781605,,Denmark,0.037189344,0.00488496,,,Egypt,0.999992029,7.97135E-06,Denmark,4000628449,1666.856984,,,,
31,35,Israel,2217857,0.103385675,0.105333645,0.111493667,0.130973365,0.192573582,0.387370572,0.144911321,0.106727441,0.102909052,0.102527212,0.102489113,,51.9194,19.1451,Poland,2660665,0.126468638,0.104883172,0.102724625,0.102508793,0.102487523,,-12.8275,45.1662,Mayotte,13000,0.103217617,0.104802199,0.109813087,0.125658905,0.175767783,0.334225967,,Guatemala,0.037025475,0.002325474,,,Dominican Republic,0.999991711,8.28912E-06,Guatemala,3983678266,16547.29388,,,,
-1.8312,-78.1834,Ecuador,326552,0.102828095,0.103570421,0.105917862,0.113341124,0.13681554,0.211048161,0.108688612,0.10310517,0.102546825,0.102491055,0.102484787,,-35.6751,-71.543,Chile,2365753,0.126372582,0.104873566,0.102723664,0.102508636,0.102486721,,24,45,Saudi Arabia,5026127,0.1032142,0.104791393,0.109778916,0.125550848,0.175426076,0.333145395,,Afghanistan,0.036756417,0.00322101,,,Panama,0.999991537,8.46304E-06,Afghanistan,3955834423,38638.36476,,,,
48.0196,66.9237,Kazakhstan,2434444,0.103157167,0.104611038,0.109208583,0.123747298,0.169722751,0.315109898,0.135660056,0.105802314,0.10281654,0.102517956,0.102488138,,4.5709,-74.2973,Colombia,2685355,0.126171998,0.104853508,0.102721658,0.102508479,0.102487523,,-40.9006,174.886,New Zealand,750808,0.103200156,0.104746982,0.109638475,0.125106734,0.174021664,0.328704256,,Antigua and Barbuda,0.031914894,0.065545873,,,Romania,0.999991096,8.90404E-06,Antigua and Barbuda,3452039480,1841087.723,,,,
26,30,Egypt,135000,0.102837753,0.103600963,0.106014445,0.113646546,0.137781369,0.21410238,0.106585879,0.102894897,0.102525794,0.102488891,0.102485471,,52.9399,-73.5491,Canada,5402249,0.125374992,0.104773806,0.102713672,0.102508,0.102484787,,-18.7669,46.8691,Madagascar,57254,0.103196808,0.104736394,0.109604992,0.125000854,0.173686841,0.327645452,,Colombia,0.031777888,0.000757,,,China,0.999991026,8.9736E-06,Colombia,3437706878,1280.168498,,,,
18.7357,-70.1627,Dominican Republic,363807,0.103090365,0.104399792,0.108540564,0.121634835,0.163042557,0.293985271,0.11403541,0.103639849,0.102600293,0.102496333,0.102485754,,36,138,Japan,1440826,0.124838429,0.104720151,0.102708321,0.102507138,0.102486721,,6.6111,20.9394,CAR,31042,0.103193196,0.104724972,0.109568873,0.124886635,0.17332565,0.326503264,,Portugal,0.03164601,0.002441679,,,Oman,0.999991024,8.97588E-06,Portugal,3423906729,1732.323759,,,,
8.538,-80.7821,Panama,326597,0.10303495,0.104224556,0.107986418,0.119882473,0.1575011,0.276461643,0.112427332,0.103479042,0.102584213,0.102494745,0.102485754,,-9.19,-75.0152,Peru,3156679,0.124275884,0.104663897,0.102702683,0.102506328,0.102488656,,2.5,112.5,Malaysia,1232927,0.103181701,0.104688622,0.109453927,0.124523142,0.172176184,0.322868334,,Malawi,0.031476122,0.007861849,,,Kuwait,0.999990955,9.04507E-06,Malawi,3406123263,76894.60139,,,,
45.9432,24.9668,Romania,1780963,0.102888054,0.10376003,0.10651746,0.115237219,0.142811518,0.230009107,0.119503255,0.104186633,0.102654973,0.102501651,0.102484787,,43,12,Italy,8509618,0.12427083,0.104663392,0.102702683,0.102506673,0.102484787,,13.1939,-59.5432,Belize,7965,0.103179936,0.104683043,0.109436282,0.124467343,0.171999732,0.322310346,,Brazil,0.031322874,0.000296857,,,Belgium,0.999990931,9.0695E-06,Brazil,3390076216,236.2013583,,,,
30.9756,112.2707,China,90410000,0.102838005,0.103601759,0.106016964,0.113654511,0.137806556,0.214182027,0.208691186,0.113105431,0.103546858,0.102589747,0.102484787,,48.3794,31.1656,Ukraine,1516712,0.12411041,0.104647349,0.102701041,0.102506415,0.102487156,,35.1264,33.4299,Cyprus,286736,0.103179919,0.104682986,0.109436104,0.124466781,0.171997954,0.322304723,,Honduras,0.031066145,0.002391743,,,Russia,0.999990472,9.52785E-06,Honduras,3363181554,23833.08215,,,,
21,57,Oman,309212,0.103405227,0.105395474,0.111689186,0.131591653,0.19452878,0.393553449,0.118670194,0.104103328,0.102646641,0.102500972,0.102486391,,7.9465,-1.0232,Ghana,439246,0.124031251,0.104639434,0.102700251,0.102506333,0.10248695,,16.25,-61.5833,Guadeloupe,29595,0.103167851,0.104644826,0.10931543,0.124085178,0.170791221,0.318488696,,Poland,0.030676792,0.002239884,,,Guatemala,0.999989863,1.01373E-05,Poland,3322365140,1248.697277,,,,
29.5,47.75,Kuwait,611639,0.103500637,0.105697187,0.112643288,0.134608787,0.204069793,0.423724783,0.127608117,0.10499712,0.102736021,0.102509911,0.1024873,,56.2639,9.5018,Denmark,2400103,0.1232434,0.104560648,0.102692376,0.102505621,0.102487523,,48.0196,66.9237,Kazakhstan,2434444,0.103157167,0.104611038,0.109208583,0.123747298,0.169722751,0.315109898,,USA,0.030436981,0.000231751,,,Japan,0.999988892,1.11078E-05,USA,3297208633,40.65488513,,,,
50.8333,4,Belgium,2234172,0.102733543,0.103271424,0.104972352,0.110351157,0.127360434,0.181148489,0.114242766,0.103660584,0.10260239,0.102496394,0.102484787,,39.3999,-8.2245,Portugal,1976482,0.122847375,0.104521046,0.102688408,0.102505168,0.102486721,,9.145,40.4897,Ethiopia,869430,0.103133703,0.10453684,0.108973949,0.123005318,0.167376404,0.307690099,,Iraq,0.030297301,0.00120139,,,Poland,0.999988865,1.11353E-05,Iraq,3282550109,2094.621267,,,,
15.7835,-90.2308,Guatemala,240745,0.102909412,0.103827569,0.106731035,0.115912603,0.144947269,0.236762944,0.109073248,0.103143633,0.102550671,0.102491347,0.102484787,,46.2276,2.2137,France,6175223,0.12244135,0.104480445,0.102684324,0.102505259,0.102484787,,13,122,Philippines,2515352,0.103122975,0.104502914,0.108866665,0.122666058,0.16630357,0.3042975,,Lithuania,0.030292356,0.010786295,,,Morocco,0.999987835,1.21654E-05,Lithuania,3282031095,5170.580425,,,,
36,138,Japan,1440826,0.103073688,0.104347056,0.1083738,0.121107481,0.161374918,0.288711732,0.124838429,0.104720151,0.102708321,0.102507138,0.102486721,,-38.4161,-63.6167,Argentina,1222359,0.122118892,0.104448197,0.102681129,0.102504419,0.102486721,,36,128,S. Korea,1924170,0.103116142,0.104481308,0.108798342,0.12245,0.165620334,0.302136916,,Albania,0.029636814,0.005890519,,,Honduras,0.999987599,1.24006E-05,Albania,3213176961,56555.0816,,,,
51.9194,19.1451,Poland,2660665,0.102949756,0.103955147,0.107134475,0.117188392,0.148981668,0.249520834,0.126468638,0.104883172,0.102724625,0.102508793,0.102487523,,-40.9006,174.886,New Zealand,750808,0.122086518,0.10444496,0.102680805,0.102504396,0.102486721,,1.5,10,Equatorial Guinea,51944,0.10310868,0.10445771,0.108723717,0.122214017,0.164874091,0.29977709,,Guyana,0.029560811,0.016582374,,,Portugal,0.99998733,1.26699E-05,Guyana,3205187807,396730.7596,,,,
31.7917,-7.0926,Morocco,1890964,0.103088687,0.104394487,0.108523788,0.121581785,0.162874796,0.293454762,0.128745513,0.105110859,0.102747393,0.102511027,0.102487523,,32,53,Iran,3184857,0.121930699,0.104429378,0.102679272,0.102504131,0.102484787,,-0.0236,37.9062,Kenya,445722,0.10310636,0.104450372,0.108700512,0.122140635,0.164642036,0.299043268,,Uruguay,0.028025478,0.014011466,,,Nigeria,0.999986522,1.34785E-05,Uruguay,3043523914,17773.75167,,,,
15.2,-86.2419,Honduras,141114,0.102946926,0.103946198,0.107106174,0.117098896,0.148698658,0.248625878,0.107974598,0.103033768,0.102539684,0.102490301,0.102484787,,9.145,40.4897,Ethiopia,869430,0.121618793,0.104398188,0.102676127,0.102503912,0.102486721,,3.9193,-56.0278,Suriname,8309,0.103106021,0.104449301,0.108697125,0.122129925,0.164608168,0.298936167,,El Salvador,0.027724478,0.003435568,,,Bahrain,0.999985952,1.40484E-05,El Salvador,3011768220,9701.486323,,,,
39.3999,-8.2245,Portugal,1976482,0.102942809,0.10393318,0.107065009,0.116968721,0.148287008,0.247324127,0.122847375,0.104521046,0.102688408,0.102505168,0.102486721,,33.8547,35.8623,Lebanon,511468,0.121154814,0.10435179,0.102671487,0.102503467,0.102486721,,15,101,Thailand,749213,0.103104962,0.104445952,0.108686534,0.122096433,0.164502256,0.298601242,,Chile,0.027403807,0.000854343,,,Ethiopia,0.999985492,1.45082E-05,Chile,2977914900,1258.759853,,,,
9.082,8.6753,Nigeria,398304,0.103074864,0.104350775,0.10838556,0.121144668,0.161492513,0.289083601,0.114261286,0.103662437,0.102602551,0.102496554,0.102485972,,33,44,Iraq,1567133,0.121002815,0.10433659,0.102669968,0.102503341,0.102486721,,60,90,Russia,36000000,0.103100104,0.104430589,0.108637953,0.121942806,0.164016444,0.297064972,,Moldova,0.027194814,0.002850296,,,Ghana,0.999983777,1.62234E-05,Moldova,2955839028,14215.89048,,,,
26.0275,50.55,Bahrain,1095373,0.103809359,0.106673453,0.115730511,0.144371444,0.234942026,0.521351356,0.146323391,0.106868648,0.102923173,0.102528625,0.102489166,,49.8175,15.473,Czechia,891140,0.120752209,0.104311529,0.10266746,0.102503036,0.102486721,,49.8175,15.473,Czechia,891140,0.103096721,0.104419891,0.108604123,0.121835827,0.163678147,0.295995182,,Austria,0.027163239,0.003309036,,,Venezuela,0.999983692,1.63075E-05,Austria,2952502938,2543.631913,,,,
9.145,40.4897,Ethiopia,869430,0.103133703,0.10453684,0.108973949,0.123005318,0.167376404,0.307690099,0.121618793,0.104398188,0.102676127,0.102503912,0.102486721,,45.9432,24.9668,Romania,1780963,0.119503255,0.104186633,0.102654973,0.102501651,0.102484787,,-23.4425,-58.4438,Paraguay,185921,0.103093873,0.104410884,0.108575642,0.121745761,0.163393336,0.29509453,,Martinique,0.026845638,0.022515678,,,Kyrgyzstan,0.999983633,1.63668E-05,Martinique,2918933962,238728.5485,,,,
7.9465,-1.0232,Ghana,439246,0.103512856,0.105735825,0.112765473,0.134995171,0.205291648,0.427588627,0.124031251,0.104639434,0.102700251,0.102506333,0.10248695,,15,101,Thailand,749213,0.119460057,0.104182314,0.102654541,0.102501762,0.102486462,,18.7357,-70.1627,Dominican Republic,363807,0.103090365,0.104399792,0.108540564,0.121634835,0.163042557,0.293985271,,Greece,0.026059938,0.005337202,,,Switzerland,0.999982889,1.7111E-05,Greece,2835792300,3045.957259,,,,
6.4238,-66.5897,Venezuela,1734382,0.103366383,0.105272639,0.11130075,0.130363309,0.190644413,0.381270004,0.139199668,0.106156275,0.102851935,0.102521503,0.102488406,,22.3,114.2,Hong Kong,780415,0.11934818,0.104171126,0.102653421,0.102501651,0.102486462,,31.7917,-7.0926,Morocco,1890964,0.103088687,0.104394487,0.108523788,0.121581785,0.162874796,0.293454762,,Norway,0.024879842,0.005059797,,,Uzbekistan,0.999982628,1.73721E-05,Norway,2710656954,3950.231788,,,,
41.2044,74.7661,Kyrgyzstan,267718,0.103006752,0.104135385,0.107704436,0.118990767,0.154681277,0.267544583,0.111025224,0.10333883,0.10257019,0.102493329,0.102485471,,47.5162,14.5501,Austria,1160743,0.119289085,0.104165217,0.102652827,0.102501595,0.102486721,,22.3,114.2,Hong Kong,780415,0.103088433,0.104393683,0.108521245,0.121573743,0.162849365,0.293374342,,Latvia,0.024619841,0.014056093,,,Costa Rica,0.999982054,1.79458E-05,Latvia,2683045068,10778.22485,,,,
46.8182,8.2275,Switzerland,1000884,0.102859659,0.103670236,0.106233505,0.114339275,0.13997197,0.221029668,0.114344514,0.10367076,0.102603388,0.102496554,0.102484787,,44.0165,21.0059,Serbia,920852,0.118821377,0.104118446,0.102648152,0.102501144,0.102486721,,21,78,India,40406609,0.10308813,0.104392727,0.108518222,0.121564183,0.162819134,0.293278744,,Kyrgyzstan,0.024181003,0.002456547,,,Afghanistan,0.999981351,1.86495E-05,Kyrgyzstan,2636406600,9847.700191,,,,
41.3775,64.5853,Uzbekistan,1377915,0.103415616,0.105428326,0.111793074,0.131920176,0.195567659,0.396838673,0.137037407,0.105940049,0.102830313,0.102519337,0.102488274,,21,57,Oman,309212,0.118670194,0.104103328,0.102646641,0.102500972,0.102486391,,45.1,15.2,Croatia,165716,0.103078895,0.104363523,0.108425871,0.121272144,0.161895627,0.29035836,,Cuba,0.023949045,0.008182433,,,Moldova,0.999980491,1.95085E-05,Cuba,2611737322,6727.917799,,,,
9.7489,-83.7534,Costa Rica,146047,0.103270318,0.104968854,0.110340095,0.127325453,0.181037871,0.35089145,0.11197792,0.1034341,0.102579718,0.102494282,0.102485692,,48.669,19.699,Slovakia,332393,0.118325835,0.104068892,0.102643198,0.102500628,0.102486391,,9.082,8.6753,Nigeria,398304,0.103074864,0.104350775,0.10838556,0.121144668,0.161492513,0.289083601,,Australia,0.023802104,0.003181668,,,Kenya,0.999979033,2.09667E-05,Australia,2596103608,421.1516786,,,,
33,65,Afghanistan,102381,0.102910904,0.103832286,0.106745953,0.115959777,0.145096446,0.237234686,0.106796384,0.102915947,0.102527904,0.102489085,0.102485271,,39.0742,21.8243,Greece,931002,0.117841052,0.104020414,0.102638346,0.102500141,0.102486155,,36,138,Japan,1440826,0.103073688,0.104347056,0.1083738,0.121107481,0.161374918,0.288711732,,Turkey,0.02352994,0.000980476,,,Serbia,0.999977396,2.26036E-05,Turkey,2567134186,370.0593369,,,,
47.4116,28.3699,Moldova,207925,0.102977742,0.104043647,0.107414335,0.118073387,0.151780268,0.258370786,0.109593001,0.103195608,0.102555869,0.102491895,0.102485471,,3.2028,73.2207,Maldives,110249,0.116360408,0.103872349,0.102623543,0.102498663,0.102486176,,-26.5225,31.4659,Eswatini,30007,0.103055026,0.104288041,0.108187177,0.120517328,0.15950869,0.2828102,,Saint Martin,0.023474178,0.036593188,,,Ireland,0.999975428,2.45721E-05,Saint Martin,2561196761,929316.6769,,,,
-0.0236,37.9062,Kenya,445722,0.10310636,0.104450372,0.108700512,0.122140635,0.164642036,0.299043268,0.115607506,0.103797059,0.102616015,0.102497907,0.102486155,,-22.3285,24.6849,Botswana,109547,0.116354901,0.103871799,0.102623488,0.102498657,0.102486176,,-38.4161,-63.6167,Argentina,1222359,0.103046367,0.104260659,0.108100588,0.120243509,0.158642797,0.280072009,,Bahamas,0.023419204,0.011003764,,,Austria,0.99997388,2.612E-05,Bahamas,2555342490,231525.0965,,,,
44.0165,21.0059,Serbia,920852,0.103023139,0.104187206,0.107868309,0.119508979,0.156320008,0.272726705,0.118821377,0.104118446,0.102648152,0.102501144,0.102486721,,60.472,8.4689,Norway,686202,0.115969329,0.103833241,0.102619629,0.102498259,0.102486155,,14.4974,-14.4524,Senegal,143852,0.103044539,0.104254878,0.108082307,0.120185701,0.158459991,0.279493924,,Serbia,0.022696759,0.002815875,,,Australia,0.999972566,2.74339E-05,Serbia,2478346283,2691.36222,,,,
53.1424,-7.6921,Ireland,824712,0.102817585,0.103537187,0.105812768,0.113008787,0.135764597,0.207724788,0.112042016,0.103440509,0.10258036,0.102494459,0.102484787,,-0.0236,37.9062,Kenya,445722,0.115607506,0.103797059,0.102616015,0.102497907,0.102486155,,30.3753,69.3451,Pakistan,2581695,0.103040434,0.104241898,0.108041261,0.120055901,0.158049528,0.278195926,,Mauritania,0.022532801,0.00593511,,,El Salvador,0.999972426,2.75744E-05,Mauritania,2460855899,35186.75235,,,,
47.5162,14.5501,Austria,1160743,0.10297802,0.104044527,0.107417119,0.118082191,0.15180811,0.25845883,0.119289085,0.104165217,0.102652827,0.102501595,0.102486721,,46.8182,8.2275,Switzerland,1000884,0.114344514,0.10367076,0.102603388,0.102496554,0.102484787,,34,9,Tunisia,139527,0.103040412,0.104241829,0.10804104,0.120055203,0.15804732,0.278188943,,South Africa,0.022457598,0.000627705,,,Czechia,0.999970801,2.91993E-05,South Africa,2452831508,671.4622643,,,,
