Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,,Country,recovery rates,error,,Country,x,x1,Country,n,n1,,
30.3753,69.3451,Pakistan,2581695,0.103032326,0.104216257,0.107960177,0.119799489,0.157238682,0.275631807,0.130305451,0.105266853,0.102762996,0.102512551,0.102487523,,,41.3775,64.5853,Uzbekistan,1377915,0.13597305,0.105833613,0.10281967,0.102518278,0.102488138,,31.24,36.51,Jordan,810061,0.103280453,0.105000902,0.110441443,0.127645941,0.182051343,0.354096329,,Jordan,0.989740082,0.008996948,,South Africa,0.999993803,6.19682E-06,Canada,7686873851,1422.902545,,
46.2276,2.2137,France,6175223,0.102667117,0.103061364,0.104308083,0.108250556,0.120717752,0.160142483,0.116812722,0.103917583,0.102627883,0.102500262,0.102484787,,,6.4238,-66.5897,Venezuela,1734382,0.135466761,0.105782984,0.102814606,0.102517786,0.102488138,,6.4238,-66.5897,Venezuela,1734382,0.103276749,0.10498919,0.110404406,0.12752882,0.181680974,0.352925119,,Venezuela,0.989642877,0.001801798,,Philippines,0.999993719,6.28109E-06,Ireland,7339024644,8898.89397,,
38.9637,35.2433,Turkey,6937088,0.102996088,0.104101663,0.107597798,0.118653546,0.153614892,0.264172376,0.145070634,0.106743372,0.102910643,0.102527344,0.102488656,,,48.0196,66.9237,Kazakhstan,2434444,0.13437364,0.105673672,0.102803675,0.102516632,0.102487523,,12.5186,-70.0358,Aruba,20869,0.103195238,0.10473143,0.109589296,0.124951217,0.173529877,0.327149089,,Aruba,0.987096774,0.013971496,,Canada,0.999993207,6.79271E-06,Egypt,7284306906,53957.82893,,
43,12,Italy,8509618,0.102712139,0.103203737,0.104758308,0.109674291,0.125219994,0.174379829,0.123457467,0.104582067,0.102694706,0.10250374,0.102484787,,,-30.5595,22.9375,South Africa,3652970,0.133291759,0.105565484,0.102792854,0.102515617,0.102487523,,24,45,Saudi Arabia,5026127,0.103188944,0.104711527,0.109526358,0.12475219,0.172900497,0.325158814,,Saudi Arabia,0.986861958,0.000704066,,France,0.999992975,7.02506E-06,Ecuador,6703736090,20528.84714,,
51,9,Germany,11208091,0.102887852,0.10375939,0.106515436,0.115230818,0.142791276,0.229945096,0.14515657,0.106751967,0.102911521,0.10252752,0.102484787,,,30.3753,69.3451,Pakistan,2581695,0.130305451,0.105266853,0.102762996,0.102512551,0.102487523,,-12.8275,45.1662,Mayotte,13000,0.103184297,0.104696832,0.109479887,0.124605235,0.172435786,0.323689268,,Mayotte,0.986684421,0.007045445,,Qatar,0.999992918,7.08213E-06,Greece,6690757264,7186.619646,,
33,44,Iraq,1567133,0.102898068,0.103791698,0.106617602,0.115553894,0.143812933,0.233175858,0.118845373,0.104120845,0.102648392,0.102501201,0.102486721,,,13,122,Philippines,2515352,0.128402467,0.105076555,0.102743965,0.10251074,0.102487523,,-18.7669,46.8691,Madagascar,57254,0.103176369,0.104671762,0.109400609,0.124354536,0.171643005,0.321182274,,Madagascar,0.98637309,0.003287352,,Ecuador,0.999992239,7.76119E-06,Iran,6556298148,2058.58478,,
13,122,Philippines,2515352,0.103001556,0.104118955,0.10765248,0.118826469,0.154161721,0.265901602,0.128402467,0.105076555,0.102743965,0.10251074,0.102487523,,,36,128,S. Korea,1924170,0.126892806,0.104925589,0.102728863,0.102509179,0.102487523,,2.5,112.5,Malaysia,1232927,0.103175996,0.104670583,0.10939688,0.124342746,0.171605721,0.321064373,,Malaysia,0.98635818,0.004060814,,Kazakhstan,0.999991959,8.04067E-06,Peru,6320188695,2002.163886,,
52.9399,-73.5491,Canada,5402249,0.102790471,0.103451445,0.105541626,0.112151362,0.133053181,0.199150538,0.124952555,0.104731566,0.102709448,0.102507346,0.102484787,,,2.5,112.5,Malaysia,1232927,0.126755262,0.104911835,0.102727491,0.102509064,0.102487156,,-40.9006,174.886,New Zealand,750808,0.10317161,0.104656713,0.109353019,0.124204045,0.171167111,0.319677367,,New Zealand,0.986180905,0.009918561,,Russia,0.999991798,8.202E-06,Bahamas,6311010769,571804.908,,
25.3548,51.1839,Qatar,620128,0.104432365,0.10864357,0.121960568,0.164072616,0.297242602,0.718363073,0.150984097,0.107334723,0.102969781,0.102533287,0.102489635,,,29.5,47.75,Kuwait,611639,0.12643931,0.104880239,0.102724332,0.102508744,0.102487156,,48.669,19.699,Slovakia,332393,0.103157137,0.104610944,0.109208286,0.123746357,0.169719774,0.315100485,,Slovakia,0.985570617,0.008413989,,Israel,0.99999166,8.34049E-06,Saint Martin,6254712326,2269489.233,,
48.3794,31.1656,Ukraine,1516712,0.102882235,0.103741628,0.106459269,0.115053202,0.142229604,0.228168934,0.117963401,0.104032648,0.102639578,0.102500262,0.102484787,,,-35.6751,-71.543,Chile,2365753,0.125923289,0.104828637,0.102719173,0.102508241,0.102487523,,48.0196,66.9237,Kazakhstan,2434444,0.103131094,0.10452859,0.108947859,0.122922816,0.167115509,0.306865076,,Kazakhstan,0.984365215,0.001328903,,China,0.999991005,8.99505E-06,Slovenia,5846274290,37126.98083,,
