Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,,Country,discharge rate,error,,Country,x,x1,Country,n,n1,,,,
30.3753,69.3451,Pakistan,2581695,0.102849609,0.103638457,0.106133011,0.114021484,0.138967027,0.21785176,0.121021553,0.104338464,0.102670149,0.102503341,0.102487523,,,-33.8688,151.2093,Australia,6164296,0.118612106,0.104097522,0.102645984,0.102500262,0.102484787,,41.3775,64.5853,Uzbekistan,1377915,0.102801997,0.103487893,0.105656887,0.112515849,0.134205791,0.202795411,,Uzbekistan,0.931404778,0.004169484,,Colombia,0.999993467,6.53344E-06,Tunisia,27385136279,196271.2327,,,,
46.2276,2.2137,France,6175223,0.102657217,0.10303006,0.10420909,0.107937512,0.119727815,0.157012035,0.116034805,0.103839795,0.102620142,0.10249573,0.102484787,,,-35.6751,-71.543,Chile,2365753,0.118220007,0.104058311,0.102642131,0.102500739,0.102484787,,-18.7669,46.8691,Madagascar,57254,0.102798667,0.103477362,0.105623584,0.112410535,0.133872758,0.201742264,,Madagascar,0.929822189,0.007021996,,Canada,0.999993388,6.61232E-06,Kenya,27222920677,61076.00854,,,,
38.9637,35.2433,Turkey,6937088,0.102763829,0.103367195,0.105275207,0.11130887,0.130388988,0.190725619,0.125725968,0.104808913,0.102717176,0.102508,0.102484787,,,-30.5595,22.9375,South Africa,3652970,0.116539107,0.103890222,0.10262535,0.102499263,0.102484787,,6,12,Cameroon,149000,0.102783963,0.103430865,0.105476548,0.111945567,0.132402399,0.197092582,,Cameroon,0.922108453,0.006475508,,South Africa,0.999993306,6.69372E-06,Slovakia,27093087918,81509.20121,,,,
43,12,Italy,8509618,0.102678435,0.103097157,0.10442127,0.108608482,0.121849612,0.163721732,0.120348368,0.104271145,0.102663594,0.10250374,0.102484787,,,48.0196,66.9237,Kazakhstan,2434444,0.116198617,0.103856166,0.1026219,0.102498189,0.102484787,,24,45,Saudi Arabia,5026127,0.102778435,0.103413383,0.105421264,0.111770744,0.131849561,0.195344355,,Saudi Arabia,0.918862353,0.001628997,,Peru,0.999993185,6.81522E-06,Angola,26988302985,416827.0806,,,,
51,9,Germany,11208091,0.102747046,0.103314124,0.10510738,0.110778155,0.128710721,0.185418471,0.13024973,0.105261282,0.102762484,0.102512686,0.102484787,,,46.2276,2.2137,France,6175223,0.116034805,0.103839795,0.102620142,0.10249573,0.102484787,,21.0079,10.9408,Mauritania,69937,0.102770349,0.103387812,0.105340404,0.111515041,0.131040956,0.192787324,,Mauritania,0.913719338,0.011210572,,Qatar,0.999993043,6.95741E-06,Sint Maarten,26884488758,11786273.02,,,,
33,44,Iraq,1567133,0.102668301,0.103065109,0.104319927,0.108288011,0.120836189,0.160517022,0.109749563,0.103211268,0.102557373,0.102492525,0.102484787,,,32,53,Iran,3184857,0.115534255,0.103789735,0.1026153,0.102498189,0.102484787,,38.9637,35.2433,Turkey,6937088,0.102763829,0.103367195,0.105275207,0.11130887,0.130388988,0.190725619,,Turkey,0.909190306,0.001858543,,Ukraine,0.999992983,7.01666E-06,Costa Rica,26733430481,183046.7622,,,,
13,122,Philippines,2515352,0.102651224,0.103011107,0.104149156,0.107747984,0.119128476,0.155116756,0.110832144,0.103319529,0.102568125,0.102492525,0.102484787,,,56.2639,9.5018,Denmark,2400103,0.11520901,0.103757207,0.102612048,0.102497619,0.102484787,,48.0196,66.9237,Kazakhstan,2434444,0.102762732,0.103363726,0.105264237,0.11127418,0.130279288,0.190378717,,Kazakhstan,0.908391595,0.002967897,,Bolivia,0.999992872,7.12772E-06,Namibia,26720909173,455910.4107,,,,
52.9399,-73.5491,Canada,5402249,0.102740026,0.103291923,0.105037175,0.110556147,0.12800867,0.18319839,0.121244839,0.104360798,0.102672417,0.10250374,0.102484787,,,25.3548,51.1839,Qatar,620128,0.114881036,0.103724412,0.102608749,0.102497211,0.102486155,,-40.9006,174.886,New Zealand,750808,0.102762253,0.103362211,0.105259446,0.111259031,0.130231382,0.190227224,,New Zealand,0.908039329,0.023248075,,Israel,0.99999283,7.17005E-06,Aruba,26514376756,1270514.963,,,,
25.3548,51.1839,Qatar,620128,0.102982581,0.10405895,0.107462727,0.118226414,0.152264183,0.259901058,0.114881036,0.103724412,0.102608749,0.102497211,0.102486155,,,41.3775,64.5853,Uzbekistan,1377915,0.114259712,0.103662279,0.102602549,0.102496712,0.102484787,,29.5,47.75,Kuwait,611639,0.102754801,0.103338645,0.105184924,0.111023371,0.129486161,0.187870626,,Kuwait,0.902272511,0.003420186,,Ecuador,0.999992804,7.19552E-06,Greece,26357587586,28310.98922,,,,
48.3794,31.1656,Ukraine,1516712,0.102645276,0.102992297,0.104089673,0.107559882,0.118533645,0.153235735,0.108735014,0.103109821,0.102547171,0.102490258,0.102484787,,,44.0165,21.0059,Serbia,920852,0.114030813,0.103639389,0.102600255,0.102496394,0.102484787,,-12.8275,45.1662,Mayotte,13000,0.102749609,0.103322229,0.10513301,0.110859203,0.128967018,0.186228952,,Mayotte,0.897909724,0.017619897,,Kazakhstan,0.99999244,7.56029E-06,CAR,26312097597,847628.9413,,,,
