Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,,Country,ICU-case rates,error,,Country,x,x1,Country,n,n1,,,,,,,,,,,,,,,,
24,45,Saudi Arabia,5026127,0.10361985,0.106074173,0.113835422,0.138378646,0.215991134,0.461423374,0.18295532,0.110531841,0.103289493,0.102565258,0.102492879,,,64,26,Finland,636019,0.280061272,0.120245701,0.104260882,0.102662396,0.102502548,,15,101,Thailand,749213,0.107128116,0.117168281,0.148918072,0.249319728,0.566817641,1.570834197,,Ethiopia,0.006730218,0.001237337,,Mexico,0.999993952,6.04764E-06,Ethiopia,746904608.8,859.0738861,,,,,,,,,,,,,,,,
30.3753,69.3451,Pakistan,2581695,0.104188095,0.107871119,0.119517864,0.156348106,0.272815558,0.641117979,0.189030504,0.111139364,0.103350245,0.102571333,0.102493438,,,53.1424,-7.6921,Ireland,824712,0.271510654,0.11938889,0.104175199,0.102653828,0.102501691,,-12.8275,45.1662,Mayotte,13000,0.107063998,0.116965525,0.1482769,0.247292164,0.560405922,1.550558561,,Mexico,0.006315674,0.000364493,,Colombia,0.999993599,6.40102E-06,Mexico,701191878.4,525.5007029,,,,,,,,,,,,,,,,
46.2276,2.2137,France,6175223,0.104491096,0.108829293,0.122547876,0.165929844,0.303115673,0.736935356,0.260145728,0.1182509,0.104061398,0.102642449,0.102500562,,,-30.5595,22.9375,South Africa,3652970,0.265391028,0.118775475,0.104113856,0.102647694,0.10250108,,43,12,Italy,8509618,0.10682464,0.116208606,0.145883314,0.23972298,0.53647006,1.474866721,,Suriname,0.006174428,0.004257795,,South Africa,0.999993406,6.59436E-06,Suriname,685607580.3,82513.85008,,,,,,,,,,,,,,,,
38.9637,35.2433,Turkey,6937088,0.103839291,0.106768106,0.11602983,0.145317973,0.237935213,0.530816643,0.21530034,0.113766345,0.103612942,0.102597599,0.102496067,,,46.2276,2.2137,France,6175223,0.260145728,0.1182509,0.104061398,0.102642449,0.102500562,,52.9399,-73.5491,Canada,5402249,0.106389878,0.114833769,0.141535698,0.225974611,0.492993899,1.337383028,,Turks and Caicos,0.006160164,0.013091383,,Peru,0.99999339,6.61033E-06,Turks and Caicos,684033601.1,288987.5797,,,,,,,,,,,,,,,,
43,12,Italy,8509618,0.10682464,0.116208606,0.145883314,0.23972298,0.53647006,1.474866721,0.502825746,0.142519943,0.106488304,0.102885139,0.102524821,,,31.7917,-7.0926,Morocco,1890964,0.254601933,0.117696671,0.104005976,0.102636906,0.1025,,6.6111,20.9394,CAR,31042,0.106347093,0.11469847,0.141107843,0.224621615,0.488715351,1.323853071,,Romania,0.005954262,0.000897044,,Canada,0.999993049,6.95117E-06,Romania,661306836.1,371.3198062,,,,,,,,,,,,,,,,
51,9,Germany,11208091,0.104961154,0.110315746,0.127248452,0.180794373,0.350121441,0.885580644,0.364653433,0.128701725,0.105106481,0.102746956,0.102511009,,,15.7835,-90.2308,Guatemala,240745,0.250592829,0.117304799,0.103966797,0.102632988,0.102499607,,21.0079,10.9408,Mauritania,69937,0.106317996,0.114606459,0.140816879,0.223701504,0.485805703,1.314651957,,New Zealand,0.005858231,0.006376848,,Qatar,0.999993035,6.96543E-06,New Zealand,650704086.3,866.671754,,,,,,,,,,,,,,,,
33,44,Iraq,1567133,0.104051729,0.107439892,0.118154205,0.152035839,0.25917897,0.597995303,0.164515362,0.108687847,0.103105093,0.102546817,0.10249098,,,7.9465,-1.0232,Ghana,439246,0.246124193,0.116851098,0.10392142,0.10262845,0.102499153,,26,30,Egypt,135000,0.106306725,0.114570816,0.140704166,0.223345076,0.484678578,1.311087673,,Lebanon,0.005645161,0.001979725,,Ukraine,0.999992876,7.1243E-06,Lebanon,627171729.8,1226.218903,,,,,,,,,,,,,,,,
13,122,Philippines,2515352,0.103756474,0.106506215,0.11520166,0.14269907,0.229653516,0.504627619,0.166264082,0.108862718,0.10312258,0.102548565,0.102491129,,,9.082,8.6753,Nigeria,398304,0.241334377,0.116372179,0.103873529,0.102623661,0.102498674,,46.8182,8.2275,Switzerland,1000884,0.106251885,0.114397397,0.140155766,0.221610882,0.479194576,1.293745736,,Argentina,0.005579227,0.000397274,,Israel,0.999992789,7.21148E-06,Argentina,619887544.4,507.1239663,,,,,,,,,,,,,,,,
52.9399,-73.5491,Canada,5402249,0.106389878,0.114833769,0.141535698,0.225974611,0.492993899,1.337383028,0.389508958,0.131187702,0.105355079,0.102771816,0.102513487,,,39.3999,-8.2245,Portugal,1976482,0.235465188,0.115782906,0.103814599,0.102617768,0.102498084,,31.7917,-7.0926,Morocco,1890964,0.105982922,0.11354686,0.137466135,0.213105521,0.452298264,1.208692131,,Martinique,0.005172414,0.011006737,,Bolivia,0.999992646,7.35431E-06,Martinique,574923143.8,47020.78546,,,,,,,,,,,,,,,,
25.3548,51.1839,Qatar,620128,0.105853574,0.113137827,0.136172656,0.209015182,0.439363476,1.167788739,0.186375562,0.110873945,0.103323703,0.102568679,0.102493176,,,15,101,Thailand,749213,0.22958084,0.115194834,0.103755792,0.102611888,0.102497497,,41.2044,74.7661,Kyrgyzstan,267718,0.105865905,0.113176822,0.136295972,0.209405141,0.440596633,1.171688324,,Saudi Arabia,0.00501498,0.000424122,,Ecuador,0.999992483,7.51711E-06,Saudi Arabia,557512346.9,110.9228531,,,,,,,,,,,,,,,,
